Bill of Materials,,,,,
Project,Liquid_handling_CNC_demo,,,,
Description,Serial dilution using a 3018 CNC and a Sartorius 5000uL Picus 2 pipette,,,,
Revision,A,,,,
Date,2026-06-14 00:00:00,,,,
Purchased Parts,,,,,
#,Part Description,Quantity,~ Cost (USD),Link,Notes
A1,Genmitsu 3018- PROVer V2 CNC,1,256,https://www.amazon.ca/Genmitsu-3018-PROVer-Beginner-Emergency-Stop-Spoilboard/dp/B0CMTJ6CZC/ref=sr_1_6?dib=eyJ2IjoiMSJ9.HHBBIt5le3b3pcaPQECCgnpcDD7SwHdjB1PodlE0RK9NnOXzFUTXrWJayEAwiM6Jxk7qbLn5RM97uhGW9UmQPXGzgtmsR9aLcf0Hj8ChlntxifqXZ4FCTd8DuTDBUgNZg0o1WHtOWK0C7Sw3m8P9CNp6GqOBG7CbVpXHqPRcYNdnQr4PpQ7Xq7DZKNXwsDHSv8b3ZhLenlLxGpTWZ-bFanMKP3J5rh4XX2YCKoxM12a-AZsTlg2tqAyfpOVhnJjMRb_bNRFnRjqzI0HetVO5Sji6-jtkFDBPODF0NKFINk0.BS2DeIcHiA20892b9rp_M2_gQXqMz2ClR3FF2isohvs&dib_tag=se&keywords=cnc%2B3018&qid=1781473459&sr=8-6&th=1,follow assembly manual up to section 3 except for steps 2.4/2.5 for spindle and acrylic panels (https://docs.sainsmart.com/article/appuv0ufmb-3018-prover-v-2)
A2,Sartorius 5000uL pipette,1,1190,https://shop.sartorius.com/us/p/picus-2-electronic-single-channel-pipette/LH-747101,
A3,"Sartorius 5000uL pipette tips, 100 pk",1,25.4,https://shop.sartorius.com/us/p/optifit-non-sterile-pipette-tips-bulk-in-a-bag-qty-100/Bagged-Pipette-Tip-150mm,
A4,Opentrons 4-well reservoir,1,6.8,https://opentrons.com/products/opentrons-tough-72-ml-4-well-reservoir-25-count,min. qty of 25
A5,Corning 24-well plate,1,3.75,https://ecatalog.corning.com/life-sciences/b2c/US/en/Microplates/Assay-Microplates/96-Well-Microplates/Costar%C2%AE-Multiple-Well-Cell-Culture-Plates/p/3738,24 well SBS plates will likely work for any vendor. Link is min. qty of 100
A7,M6x10mm flathead screws,8,0,,for screwing in deck slots
A8,M5x25mm panhead screws,8,0,,for z-offset spacers
A9,M5 nuts,8,0,,for z-offset spacers
A10,food colouring,1,0,https://www.amazon.ca/Club-House-Food-Colour-Preparation/dp/B00HVVNFVW/ref=sr_1_23?crid=1GK6LEUEIDESY&dib=eyJ2IjoiMSJ9.iZZ6rmaCbgshsHFRVOR-bOfgWjmJWljpXLZmGbRfoGhOb1iONZEHRz-xAmOk2WpRrKXCFMPKZbp1OO-nZWUb6rxYAuRBlRRSdnt76w8YBFzBH8tnccpltOdhcoZAmSKlMSYvcEsBo4-Nmx3RTtkB03GFTM_8Miy0JBs5PK4Iw5-LDsQudIL9yW8Cq0srVuL_8C3y72NPgiu2iPKPtZfLm6SlHoFwn3o8ghBAwlRjJUkaqer_O0c9Upohqp1Xo1MBjh4oZCJi3NReNL7aV80Q94UCbMUGWcLG_QADiZNhskA.g-R2mQwCt1XtbmOB4H9pFpmAbvU7sU_1fdakMt-RGB0&dib_tag=se&keywords=food+coloring&qid=1781478708&sprefix=food+colorin%2Caps%2C152&sr=8-23,water based. Pick your colour
3D Printed Parts,,,,,
#,Part Name,Quantity,Notes,,
B1,100mm-z-spacer.stl,2,uses M5 hardware to elevate the XZ carriage,,
B2,deck-slot-5mm-offset.stl,1,installed in deck slot 1,,
B3,deck-slot-standard.stl,3,installed in  deck slots 2-4,,
B4,sartorius-24-tiprack-5000ul.stl,2,custom 24-tip rack,,
B5,sartorius-5000ul-pipette-tool-holder-a.stl,1,two-part toolhead mount that clamps around pipette,,
B6,sartorius-5000ul-pipette-tool-holder-b.stl,1,two-part toolhead mount that clamps around pipette,,
B7,m6-thumb-screw.stl,8,for securing labware into deck slots. any M6 screw will work. This was directly modified/printed from here https://www.mcmaster.com/92545A183/,,
Other Physical Requirements and tools,,,,,
A computer (Windows / macOS / Linux) with a USB-A port (or necessary dongle) to connect to the CNC over USB serial.,,,,,
"Access to water. If I'm making this explicity requirment, I might be missing out some other requirements",,,,,
Allen keys and screwdrivers,,,,,
,,,Author,,
,,,KC,,
Changelog,,,,,
Revision,Description,Date,,,
A,Initial Release,2026-06-14 00:00:00,,,
